patient_id,sex,population,superpopulation
HG01251,F,CLM,AMR
HG01252,M,CLM,AMR
HG01253,M,CLM,AMR
HG01254,F,CLM,AMR
HG01255,M,CLM,AMR
HG01256,M,CLM,AMR
HG01257,F,CLM,AMR
HG01258,M,CLM,AMR
HG01259,M,CLM,AMR
HG01260,F,CLM,AMR
HG01261,M,CLM,AMR
HG01269,F,CLM,AMR
HG01271,M,CLM,AMR
HG01272,F,CLM,AMR
HG01273,M,CLM,AMR
HG01274,M,CLM,AMR
HG01275,F,CLM,AMR
HG01276,F,CLM,AMR
HG01277,M,CLM,AMR
HG01278,F,CLM,AMR
HG01279,F,CLM,AMR
HG01280,M,CLM,AMR
HG01281,F,CLM,AMR
HG01284,F,CLM,AMR
HG01286,M,PUR,AMR
HG01302,M,PUR,AMR
HG01303,F,PUR,AMR
HG01305,M,PUR,AMR
HG01308,M,PUR,AMR
HG01311,M,PUR,AMR
HG01312,F,PUR,AMR
HG01323,F,PUR,AMR
HG01325,M,PUR,AMR
HG01326,F,PUR,AMR
HG01334,M,GBR,EUR
HG01341,M,CLM,AMR
HG01342,F,CLM,AMR
HG01343,F,CLM,AMR
HG01344,M,CLM,AMR
HG01345,F,CLM,AMR
HG01346,F,CLM,AMR
HG01347,M,CLM,AMR
HG01348,F,CLM,AMR
HG01349,F,CLM,AMR
HG01350,M,CLM,AMR
HG01351,F,CLM,AMR
HG01352,F,CLM,AMR
HG01353,M,CLM,AMR
HG01354,F,CLM,AMR
HG01355,F,CLM,AMR
HG01356,M,CLM,AMR
HG01357,F,CLM,AMR
HG01358,M,CLM,AMR
HG01359,M,CLM,AMR
HG01360,F,CLM,AMR
HG01361,F,CLM,AMR
HG01362,M,CLM,AMR
HG01363,F,CLM,AMR
HG01365,M,CLM,AMR
HG01366,F,CLM,AMR
HG01367,F,CLM,AMR
HG01369,F,CLM,AMR
HG01372,F,CLM,AMR
HG01374,M,CLM,AMR
HG01375,F,CLM,AMR
HG01376,F,CLM,AMR
HG01377,M,CLM,AMR
HG01378,F,CLM,AMR
HG01379,F,CLM,AMR
HG01383,M,CLM,AMR
HG01384,F,CLM,AMR
HG01385,F,CLM,AMR
HG01389,M,CLM,AMR
HG01390,F,CLM,AMR
HG01391,F,CLM,AMR
HG01392,M,PUR,AMR
HG01393,F,PUR,AMR
HG01395,M,PUR,AMR
HG01396,F,PUR,AMR
HG01398,M,PUR,AMR
HG01402,M,PUR,AMR
HG01403,F,PUR,AMR
HG01405,M,PUR,AMR
HG01412,M,PUR,AMR
HG01413,M,PUR,AMR
HG01414,F,PUR,AMR
HG01431,M,CLM,AMR
HG01432,F,CLM,AMR
HG01433,M,CLM,AMR
HG01435,F,CLM,AMR
HG01437,M,CLM,AMR
HG01438,F,CLM,AMR
HG01439,F,CLM,AMR
HG01440,M,CLM,AMR
HG01441,F,CLM,AMR
HG01443,M,CLM,AMR
HG01444,F,CLM,AMR
HG01447,F,CLM,AMR
HG01455,M,CLM,AMR
HG01456,F,CLM,AMR
HG01457,M,CLM,AMR
HG01459,F,CLM,AMR
HG01461,M,CLM,AMR
HG01462,F,CLM,AMR
HG01463,F,CLM,AMR
HG01464,M,CLM,AMR
HG01465,F,CLM,AMR
HG01466,F,CLM,AMR
HG01468,F,CLM,AMR
HG01474,F,CLM,AMR
HG01479,M,CLM,AMR
HG01485,M,CLM,AMR
HG01486,F,CLM,AMR
HG01488,M,CLM,AMR
HG01489,F,CLM,AMR
HG01490,F,CLM,AMR
HG01491,M,CLM,AMR
HG01492,F,CLM,AMR
HG01493,F,CLM,AMR
HG01494,M,CLM,AMR
HG01495,F,CLM,AMR
HG01496,F,CLM,AMR
HG01497,M,CLM,AMR
HG01498,F,CLM,AMR
HG01499,M,CLM,AMR
HG01500,M,IBS,EUR
HG01501,F,IBS,EUR
HG01502,M,IBS,EUR
HG01503,M,IBS,EUR
HG01504,F,IBS,EUR
HG01505,M,IBS,EUR
HG01506,M,IBS,EUR
HG01507,F,IBS,EUR
HG01508,M,IBS,EUR
HG01509,M,IBS,EUR
HG01510,F,IBS,EUR
HG01511,F,IBS,EUR
HG01512,M,IBS,EUR
HG01513,F,IBS,EUR
HG01514,F,IBS,EUR
HG01515,M,IBS,EUR
HG01516,F,IBS,EUR
HG01517,F,IBS,EUR
HG01518,M,IBS,EUR
HG01519,F,IBS,EUR
HG01520,F,IBS,EUR
HG01521,M,IBS,EUR
HG01522,F,IBS,EUR
HG01523,M,IBS,EUR
HG01524,M,IBS,EUR
HG01525,F,IBS,EUR
HG01526,M,IBS,EUR
HG01527,M,IBS,EUR
HG01528,F,IBS,EUR
HG01529,M,IBS,EUR
HG01530,M,IBS,EUR
HG01531,F,IBS,EUR
HG01532,M,IBS,EUR
HG01536,M,IBS,EUR
HG01537,F,IBS,EUR
HG01538,F,IBS,EUR
HG01550,M,CLM,AMR
HG01551,F,CLM,AMR
HG01552,M,CLM,AMR
HG01556,M,CLM,AMR
HG01565,M,PEL,AMR
HG01566,F,PEL,AMR
HG01567,F,PEL,AMR
HG01571,M,PEL,AMR
HG01572,F,PEL,AMR
HG01573,F,PEL,AMR
HG01577,M,PEL,AMR
HG01578,F,PEL,AMR
HG01579,M,PEL,AMR
HG01583,M,PJL,SAS
HG01586,M,PJL,SAS
HG01589,M,PJL,SAS
HG01593,F,PJL,SAS
HG01595,F,KHV,EAS
HG01596,M,KHV,EAS
HG01597,F,KHV,EAS
HG01598,F,KHV,EAS
HG01599,F,KHV,EAS
HG01600,F,KHV,EAS
HG01601,M,IBS,EUR
HG01602,F,IBS,EUR
HG01603,M,IBS,EUR
HG01604,F,IBS,EUR
HG01605,F,IBS,EUR
HG01606,M,IBS,EUR
HG01607,F,IBS,EUR
HG01608,M,IBS,EUR
HG01609,M,IBS,EUR
HG01610,M,IBS,EUR
HG01611,M,IBS,EUR
HG01612,F,IBS,EUR
HG01613,F,IBS,EUR
HG01614,F,IBS,EUR
HG01615,M,IBS,EUR
HG01616,F,IBS,EUR
HG01617,M,IBS,EUR
HG01618,F,IBS,EUR
HG01619,M,IBS,EUR
HG01620,F,IBS,EUR
HG01621,M,IBS,EUR
HG01622,F,IBS,EUR
HG01623,F,IBS,EUR
HG01624,M,IBS,EUR
HG01625,M,IBS,EUR
HG01626,F,IBS,EUR
HG01627,M,IBS,EUR
HG01628,F,IBS,EUR
HG01629,M,IBS,EUR
HG01630,M,IBS,EUR
HG01631,M,IBS,EUR
HG01632,F,IBS,EUR
HG01633,M,IBS,EUR
HG01667,M,IBS,EUR
HG01668,F,IBS,EUR
HG01669,M,IBS,EUR
HG01670,F,IBS,EUR
HG01671,M,IBS,EUR
HG01672,M,IBS,EUR
HG01673,F,IBS,EUR
HG01674,M,IBS,EUR
HG01675,M,IBS,EUR
HG01676,F,IBS,EUR
HG01677,F,IBS,EUR
HG01678,M,IBS,EUR
HG01679,F,IBS,EUR
HG01680,M,IBS,EUR
HG01681,F,IBS,EUR
HG01682,M,IBS,EUR
HG01683,M,IBS,EUR
HG01684,F,IBS,EUR
HG01685,F,IBS,EUR
HG01686,M,IBS,EUR
HG01687,F,IBS,EUR
HG01694,M,IBS,EUR
HG01695,F,IBS,EUR
HG01696,M,IBS,EUR
HG01697,F,IBS,EUR
HG01698,M,IBS,EUR
HG01699,M,IBS,EUR
HG01700,M,IBS,EUR
HG01701,M,IBS,EUR
HG01702,F,IBS,EUR
HG01703,M,IBS,EUR
HG01704,F,IBS,EUR
HG01705,M,IBS,EUR
HG01706,F,IBS,EUR
HG01707,F,IBS,EUR
HG01708,M,IBS,EUR
HG01709,M,IBS,EUR
HG01710,F,IBS,EUR
HG01711,F,IBS,EUR
HG01746,F,IBS,EUR
HG01747,M,IBS,EUR
HG01748,M,IBS,EUR
HG01755,F,IBS,EUR
HG01756,M,IBS,EUR
HG01757,F,IBS,EUR
HG01761,M,IBS,EUR
HG01762,F,IBS,EUR
HG01763,F,IBS,EUR
HG01765,M,IBS,EUR
HG01766,F,IBS,EUR
HG01767,M,IBS,EUR
HG01768,F,IBS,EUR
HG01770,F,IBS,EUR
HG01771,M,IBS,EUR
HG01772,F,IBS,EUR
HG01773,F,IBS,EUR
HG01774,M,IBS,EUR
HG01775,M,IBS,EUR
HG01776,F,IBS,EUR
HG01777,M,IBS,EUR
HG01778,M,IBS,EUR
HG01779,F,IBS,EUR
HG01780,M,IBS,EUR
HG01781,M,IBS,EUR
HG01782,F,IBS,EUR
HG01783,M,IBS,EUR
HG01784,F,IBS,EUR
HG01785,M,IBS,EUR
HG01786,F,IBS,EUR
HG01789,M,GBR,EUR
HG01790,F,GBR,EUR
HG01791,M,GBR,EUR
HG01794,F,CDX,EAS
HG01795,F,CDX,EAS
HG01796,F,CDX,EAS
HG01797,F,CDX,EAS
HG01798,F,CDX,EAS
HG01799,F,CDX,EAS
HG01800,F,CDX,EAS
HG01801,F,CDX,EAS
HG01802,F,CDX,EAS
HG01804,F,CDX,EAS
HG01805,F,CDX,EAS
HG01806,F,CDX,EAS
HG01807,F,CDX,EAS
HG01808,F,CDX,EAS
HG01809,F,CDX,EAS
HG01810,M,CDX,EAS
HG01811,M,CDX,EAS
HG01812,F,CDX,EAS
HG01813,F,CDX,EAS
HG01815,F,CDX,EAS
HG01816,M,CDX,EAS
HG01817,F,CDX,EAS
HG01840,M,KHV,EAS
HG01841,F,KHV,EAS
HG01842,M,KHV,EAS
HG01843,F,KHV,EAS
HG01844,M,KHV,EAS
HG01845,F,KHV,EAS
HG01846,M,KHV,EAS
HG01847,F,KHV,EAS
HG01848,F,KHV,EAS
HG01849,M,KHV,EAS
HG01850,F,KHV,EAS
HG01851,F,KHV,EAS
HG01852,M,KHV,EAS
HG01853,F,KHV,EAS
HG01855,F,KHV,EAS
HG01857,F,KHV,EAS
HG01858,F,KHV,EAS
HG01859,F,KHV,EAS
HG01860,M,KHV,EAS
HG01861,M,KHV,EAS
HG01862,F,KHV,EAS
HG01863,F,KHV,EAS
HG01864,M,KHV,EAS
HG01865,M,KHV,EAS
HG01866,M,KHV,EAS
HG01867,M,KHV,EAS
HG01868,F,KHV,EAS
HG01869,F,KHV,EAS
HG01870,F,KHV,EAS
HG01871,F,KHV,EAS
HG01872,M,KHV,EAS
HG01873,M,KHV,EAS
HG01874,F,KHV,EAS
HG01878,F,KHV,EAS
HG01879,M,ACB,AFR
HG01880,F,ACB,AFR
HG01881,F,ACB,AFR
HG01882,M,ACB,AFR
HG01883,F,ACB,AFR
HG01884,F,ACB,AFR
