patient_id,sex,population,superpopulation
HG02442,M,ACB,AFR
HG02445,M,ACB,AFR
HG02449,M,ACB,AFR
HG02450,F,ACB,AFR
HG02451,F,ACB,AFR
HG02455,M,ACB,AFR
HG02461,M,GWD,AFR
HG02462,F,GWD,AFR
HG02463,M,GWD,AFR
HG02464,M,GWD,AFR
HG02465,F,GWD,AFR
HG02466,M,GWD,AFR
HG02470,M,ACB,AFR
HG02471,F,ACB,AFR
HG02476,F,ACB,AFR
HG02477,F,ACB,AFR
HG02479,F,ACB,AFR
HG02481,M,ACB,AFR
HG02484,M,ACB,AFR
HG02485,F,ACB,AFR
HG02489,M,ACB,AFR
HG02490,M,PJL,SAS
HG02491,F,PJL,SAS
HG02492,M,PJL,SAS
HG02493,M,PJL,SAS
HG02494,F,PJL,SAS
HG02495,F,PJL,SAS
HG02496,M,ACB,AFR
HG02497,F,ACB,AFR
HG02501,M,ACB,AFR
HG02502,F,ACB,AFR
HG02505,F,ACB,AFR
HG02508,F,ACB,AFR
HG02511,F,ACB,AFR
HG02512,M,KHV,EAS
HG02513,F,KHV,EAS
HG02514,M,KHV,EAS
HG02521,M,KHV,EAS
HG02522,F,KHV,EAS
HG02523,F,KHV,EAS
HG02524,M,KHV,EAS
HG02525,F,KHV,EAS
HG02526,F,KHV,EAS
HG02536,M,ACB,AFR
HG02537,F,ACB,AFR
HG02541,M,ACB,AFR
HG02545,M,ACB,AFR
HG02546,F,ACB,AFR
HG02549,F,ACB,AFR
HG02554,M,ACB,AFR
HG02555,F,ACB,AFR
HG02557,M,ACB,AFR
HG02558,F,ACB,AFR
HG02561,M,GWD,AFR
HG02562,F,GWD,AFR
HG02563,M,GWD,AFR
HG02568,F,GWD,AFR
HG02569,M,GWD,AFR
HG02570,M,GWD,AFR
HG02571,F,GWD,AFR
HG02572,M,GWD,AFR
HG02573,M,GWD,AFR
HG02574,F,GWD,AFR
HG02575,M,GWD,AFR
HG02577,F,ACB,AFR
HG02580,F,ACB,AFR
HG02582,M,GWD,AFR
HG02583,F,GWD,AFR
HG02584,M,GWD,AFR
HG02585,M,GWD,AFR
HG02586,F,GWD,AFR
HG02587,F,GWD,AFR
HG02588,M,GWD,AFR
HG02589,F,GWD,AFR
HG02590,M,GWD,AFR
HG02594,M,GWD,AFR
HG02595,F,GWD,AFR
HG02596,M,GWD,AFR
HG02597,M,PJL,SAS
HG02600,M,PJL,SAS
HG02601,F,PJL,SAS
HG02602,M,PJL,SAS
HG02603,M,PJL,SAS
HG02604,F,PJL,SAS
HG02605,F,PJL,SAS
HG02610,M,GWD,AFR
HG02611,F,GWD,AFR
HG02612,M,GWD,AFR
HG02613,M,GWD,AFR
HG02614,F,GWD,AFR
HG02615,F,GWD,AFR
HG02620,M,GWD,AFR
HG02621,F,GWD,AFR
HG02622,F,GWD,AFR
HG02623,M,GWD,AFR
HG02624,F,GWD,AFR
HG02625,M,GWD,AFR
HG02628,M,GWD,AFR
HG02629,F,GWD,AFR
HG02630,F,GWD,AFR
HG02634,M,GWD,AFR
HG02635,F,GWD,AFR
HG02636,M,GWD,AFR
HG02642,M,GWD,AFR
HG02643,F,GWD,AFR
HG02644,M,GWD,AFR
HG02645,M,GWD,AFR
HG02646,F,GWD,AFR
HG02647,M,GWD,AFR
HG02648,M,PJL,SAS
HG02649,F,PJL,SAS
HG02650,M,PJL,SAS
HG02651,M,PJL,SAS
HG02652,F,PJL,SAS
HG02653,F,PJL,SAS
HG02654,M,PJL,SAS
HG02655,F,PJL,SAS
HG02656,M,PJL,SAS
HG02657,M,PJL,SAS
HG02658,F,PJL,SAS
HG02659,F,PJL,SAS
HG02660,M,PJL,SAS
HG02661,F,PJL,SAS
HG02662,F,PJL,SAS
HG02666,M,GWD,AFR
HG02667,F,GWD,AFR
HG02668,M,GWD,AFR
HG02675,M,GWD,AFR
HG02676,F,GWD,AFR
HG02677,F,GWD,AFR
HG02678,M,GWD,AFR
HG02679,F,GWD,AFR
HG02680,F,GWD,AFR
HG02681,M,PJL,SAS
HG02682,F,PJL,SAS
HG02683,F,PJL,SAS
HG02684,M,PJL,SAS
HG02685,F,PJL,SAS
HG02686,M,PJL,SAS
HG02687,M,PJL,SAS
HG02688,F,PJL,SAS
HG02689,M,PJL,SAS
HG02690,M,PJL,SAS
HG02691,F,PJL,SAS
HG02692,F,PJL,SAS
HG02694,F,PJL,SAS
HG02696,M,PJL,SAS
HG02697,F,PJL,SAS
HG02698,M,PJL,SAS
HG02699,M,PJL,SAS
HG02700,F,PJL,SAS
HG02701,M,PJL,SAS
HG02702,M,GWD,AFR
HG02703,F,GWD,AFR
HG02704,F,GWD,AFR
HG02715,M,GWD,AFR
HG02716,F,GWD,AFR
HG02717,M,GWD,AFR
HG02721,M,GWD,AFR
HG02722,F,GWD,AFR
HG02723,F,GWD,AFR
HG02724,M,PJL,SAS
HG02725,F,PJL,SAS
HG02726,F,PJL,SAS
HG02727,M,PJL,SAS
HG02728,F,PJL,SAS
HG02729,M,PJL,SAS
HG02731,F,PJL,SAS
HG02733,M,PJL,SAS
HG02734,F,PJL,SAS
HG02735,M,PJL,SAS
HG02736,M,PJL,SAS
HG02737,F,PJL,SAS
HG02738,M,PJL,SAS
HG02756,M,GWD,AFR
HG02757,F,GWD,AFR
HG02759,M,GWD,AFR
HG02760,F,GWD,AFR
HG02761,F,GWD,AFR
HG02762,M,GWD,AFR
HG02763,F,GWD,AFR
HG02764,M,GWD,AFR
HG02768,M,GWD,AFR
HG02769,F,GWD,AFR
HG02770,F,GWD,AFR
HG02771,M,GWD,AFR
HG02772,F,GWD,AFR
HG02773,M,GWD,AFR
HG02774,M,PJL,SAS
HG02775,F,PJL,SAS
HG02776,F,PJL,SAS
HG02778,F,PJL,SAS
HG02780,M,PJL,SAS
HG02783,M,PJL,SAS
HG02784,F,PJL,SAS
HG02785,F,PJL,SAS
HG02786,M,PJL,SAS
HG02787,F,PJL,SAS
HG02788,F,PJL,SAS
HG02789,M,PJL,SAS
HG02790,F,PJL,SAS
HG02791,M,PJL,SAS
HG02792,M,PJL,SAS
HG02793,F,PJL,SAS
HG02794,M,PJL,SAS
HG02798,M,GWD,AFR
HG02799,F,GWD,AFR
HG02800,M,GWD,AFR
HG02804,M,GWD,AFR
HG02805,F,GWD,AFR
HG02806,F,GWD,AFR
HG02807,M,GWD,AFR
HG02808,F,GWD,AFR
HG02809,F,GWD,AFR
HG02810,M,GWD,AFR
HG02811,F,GWD,AFR
HG02812,M,GWD,AFR
HG02813,M,GWD,AFR
HG02814,F,GWD,AFR
HG02815,M,GWD,AFR
HG02816,M,GWD,AFR
HG02817,F,GWD,AFR
HG02818,F,GWD,AFR
HG02819,M,GWD,AFR
HG02820,F,GWD,AFR
HG02821,M,GWD,AFR
HG02836,M,GWD,AFR
HG02837,F,GWD,AFR
HG02838,M,GWD,AFR
HG02839,M,GWD,AFR
HG02840,F,GWD,AFR
HG02841,F,GWD,AFR
HG02851,M,GWD,AFR
HG02852,F,GWD,AFR
HG02853,M,GWD,AFR
HG02854,M,GWD,AFR
HG02855,F,GWD,AFR
HG02856,M,GWD,AFR
HG02860,M,GWD,AFR
HG02861,F,GWD,AFR
HG02862,F,GWD,AFR
HG02869,M,GWD,AFR
HG02870,F,GWD,AFR
HG02871,F,GWD,AFR
HG02878,M,GWD,AFR
HG02879,F,GWD,AFR
HG02880,F,GWD,AFR
HG02881,M,GWD,AFR
HG02882,F,GWD,AFR
HG02883,M,GWD,AFR
HG02884,M,GWD,AFR
HG02885,F,GWD,AFR
HG02886,F,GWD,AFR
HG02887,M,GWD,AFR
HG02888,F,GWD,AFR
HG02889,F,GWD,AFR
HG02890,M,GWD,AFR
HG02891,F,GWD,AFR
HG02892,M,GWD,AFR
HG02895,M,GWD,AFR
HG02896,F,GWD,AFR
HG02897,F,GWD,AFR
HG02922,F,ESN,AFR
HG02923,M,ESN,AFR
HG02924,M,ESN,AFR
HG02938,M,ESN,AFR
HG02941,M,ESN,AFR
HG02943,F,ESN,AFR
HG02944,M,ESN,AFR
HG02945,F,ESN,AFR
HG02946,F,ESN,AFR
HG02947,M,ESN,AFR
HG02948,M,ESN,AFR
HG02952,F,ESN,AFR
HG02953,M,ESN,AFR
HG02954,M,ESN,AFR
HG02964,F,ESN,AFR
HG02965,M,ESN,AFR
HG02966,M,ESN,AFR
HG02968,M,ESN,AFR
HG02970,F,ESN,AFR
HG02971,M,ESN,AFR
HG02972,M,ESN,AFR
HG02973,M,ESN,AFR
HG02974,F,ESN,AFR
HG02975,M,ESN,AFR
HG02976,F,ESN,AFR
HG02977,M,ESN,AFR
HG02978,F,ESN,AFR
HG02979,F,ESN,AFR
HG02980,M,ESN,AFR
HG02981,M,ESN,AFR
HG02982,M,GWD,AFR
HG02983,F,GWD,AFR
HG02984,M,GWD,AFR
HG03006,M,BEB,SAS
HG03007,F,BEB,SAS
HG03008,M,BEB,SAS
HG03009,M,BEB,SAS
HG03012,M,BEB,SAS
HG03015,M,PJL,SAS
HG03016,F,PJL,SAS
HG03017,M,PJL,SAS
HG03018,M,PJL,SAS
HG03019,F,PJL,SAS
HG03021,M,PJL,SAS
HG03022,F,PJL,SAS
HG03024,M,GWD,AFR
HG03025,F,GWD,AFR
HG03026,F,GWD,AFR
HG03027,M,GWD,AFR
HG03028,F,GWD,AFR
HG03029,M,GWD,AFR
HG03033,M,GWD,AFR
HG03034,F,GWD,AFR
HG03035,M,GWD,AFR
HG03039,M,GWD,AFR
HG03040,F,GWD,AFR
HG03041,F,GWD,AFR
HG03045,M,GWD,AFR
HG03046,F,GWD,AFR
HG03047,F,GWD,AFR
HG03048,M,GWD,AFR
HG03049,F,GWD,AFR
HG03050,M,GWD,AFR
HG03052,F,MSL,AFR
HG03054,M,MSL,AFR
HG03055,F,MSL,AFR
HG03056,M,MSL,AFR
HG03057,M,MSL,AFR
HG03058,F,MSL,AFR
HG03060,M,MSL,AFR
HG03061,F,MSL,AFR
HG03063,M,MSL,AFR
HG03064,F,MSL,AFR
HG03065,M,MSL,AFR
HG03066,M,MSL,AFR
HG03069,M,MSL,AFR
HG03072,M,MSL,AFR
HG03073,F,MSL,AFR
HG03074,M,MSL,AFR
HG03077,M,MSL,AFR
HG03078,M,MSL,AFR
HG03079,F,MSL,AFR
HG03081,M,MSL,AFR
HG03082,F,MSL,AFR
HG03084,M,MSL,AFR
HG03085,F,MSL,AFR
HG03086,F,MSL,AFR
HG03088,F,MSL,AFR
HG03091,F,MSL,AFR
HG03095,F,MSL,AFR
HG03096,M,MSL,AFR
HG03097,F,MSL,AFR
HG03098,M,MSL,AFR
HG03099,F,ESN,AFR
HG03100,M,ESN,AFR
HG03101,M,ESN,AFR
HG03103,M,ESN,AFR
HG03105,F,ESN,AFR
HG03108,F,ESN,AFR
HG03109,M,ESN,AFR
HG03110,F,ESN,AFR
HG03111,F,ESN,AFR
HG03112,M,ESN,AFR
HG03113,F,ESN,AFR
HG03114,F,ESN,AFR
HG03115,M,ESN,AFR
HG03116,F,ESN,AFR
HG03117,F,ESN,AFR
HG03118,M,ESN,AFR
HG03119,F,ESN,AFR
HG03120,M,ESN,AFR
HG03121,F,ESN,AFR
HG03122,M,ESN,AFR
HG03123,F,ESN,AFR
HG03124,M,ESN,AFR
HG03125,F,ESN,AFR
HG03126,F,ESN,AFR
HG03127,M,ESN,AFR
HG03128,M,ESN,AFR
HG03129,F,ESN,AFR
HG03130,M,ESN,AFR
HG03131,M,ESN,AFR
HG03132,F,ESN,AFR
HG03133,M,ESN,AFR
HG03134,M,ESN,AFR
HG03135,F,ESN,AFR
HG03136,M,ESN,AFR
HG03137,M,ESN,AFR
HG03139,M,ESN,AFR
HG03157,M,ESN,AFR
HG03159,F,ESN,AFR
HG03160,M,ESN,AFR
HG03161,M,ESN,AFR
HG03162,F,ESN,AFR
HG03163,M,ESN,AFR
HG03164,F,ESN,AFR
HG03166,M,ESN,AFR
HG03168,F,ESN,AFR
HG03169,M,ESN,AFR
HG03170,M,ESN,AFR
HG03172,M,ESN,AFR
HG03175,M,ESN,AFR
HG03189,F,ESN,AFR
HG03190,M,ESN,AFR
HG03191,M,ESN,AFR
HG03193,M,ESN,AFR
HG03195,F,ESN,AFR
HG03196,M,ESN,AFR
HG03197,M,ESN,AFR
HG03198,F,ESN,AFR
HG03199,M,ESN,AFR
HG03200,F,ESN,AFR
HG03202,M,ESN,AFR
HG03209,M,MSL,AFR
HG03212,F,MSL,AFR
HG03224,M,MSL,AFR
HG03225,M,MSL,AFR
HG03228,M,PJL,SAS
HG03229,F,PJL,SAS
HG03230,F,PJL,SAS
HG03234,M,PJL,SAS
HG03235,F,PJL,SAS
HG03236,F,PJL,SAS
HG03237,M,PJL,SAS
HG03238,F,PJL,SAS
HG03239,F,PJL,SAS
HG03240,M,GWD,AFR
HG03241,F,GWD,AFR
HG03242,M,GWD,AFR
HG03246,M,GWD,AFR
HG03247,F,GWD,AFR
HG03248,M,GWD,AFR
HG03249,M,GWD,AFR
HG03250,F,GWD,AFR
HG03251,F,GWD,AFR
HG03258,M,GWD,AFR
HG03259,F,GWD,AFR
HG03260,M,GWD,AFR
HG03265,M,ESN,AFR
HG03267,F,ESN,AFR
HG03268,M,ESN,AFR
HG03269,M,ESN,AFR
HG03270,F,ESN,AFR
HG03271,M,ESN,AFR
HG03272,F,ESN,AFR
HG03279,F,ESN,AFR
HG03280,M,ESN,AFR
HG03291,F,ESN,AFR
HG03294,F,ESN,AFR
HG03295,M,ESN,AFR
HG03296,M,ESN,AFR
HG03297,F,ESN,AFR
HG03298,M,ESN,AFR
HG03299,M,ESN,AFR
HG03300,F,ESN,AFR
HG03301,M,ESN,AFR
HG03302,M,ESN,AFR
HG03303,F,ESN,AFR
HG03304,M,ESN,AFR
HG03305,F,ESN,AFR
HG03306,F,ESN,AFR
HG03307,M,ESN,AFR
HG03308,M,ESN,AFR
HG03309,F,ESN,AFR
HG03310,F,ESN,AFR
HG03311,M,ESN,AFR
HG03312,F,ESN,AFR
HG03313,M,ESN,AFR
HG03314,M,ESN,AFR
HG03342,F,ESN,AFR
HG03343,M,ESN,AFR
HG03344,M,ESN,AFR
HG03350,M,ESN,AFR
HG03351,F,ESN,AFR
HG03352,M,ESN,AFR
HG03354,F,ESN,AFR
HG03363,F,ESN,AFR
HG03366,F,ESN,AFR
HG03367,M,ESN,AFR
HG03368,M,ESN,AFR
HG03369,F,ESN,AFR
HG03370,M,ESN,AFR
HG03371,M,ESN,AFR
HG03372,F,ESN,AFR
HG03373,M,ESN,AFR
HG03374,F,ESN,AFR
HG03376,M,MSL,AFR
HG03378,F,MSL,AFR
HG03380,F,MSL,AFR
HG03382,M,MSL,AFR
HG03385,M,MSL,AFR
HG03388,M,MSL,AFR
HG03391,M,MSL,AFR
HG03394,M,MSL,AFR
HG03397,M,MSL,AFR
HG03401,F,MSL,AFR
HG03410,F,MSL,AFR
HG03419,F,MSL,AFR
HG03428,F,MSL,AFR
HG03432,M,MSL,AFR
HG03433,M,MSL,AFR
HG03436,M,MSL,AFR
HG03437,F,MSL,AFR
HG03438,F,MSL,AFR
HG03439,M,MSL,AFR
HG03442,M,MSL,AFR
HG03445,M,MSL,AFR
HG03446,F,MSL,AFR
HG03449,F,MSL,AFR
HG03451,M,MSL,AFR
HG03452,F,MSL,AFR
HG03453,F,MSL,AFR
HG03454,M,MSL,AFR
HG03455,F,MSL,AFR
HG03456,M,MSL,AFR
HG03457,M,MSL,AFR
HG03458,F,MSL,AFR
HG03460,M,MSL,AFR
HG03461,F,MSL,AFR
HG03464,F,MSL,AFR
HG03469,M,MSL,AFR
HG03470,F,MSL,AFR
HG03472,M,MSL,AFR
HG03473,F,MSL,AFR
HG03476,F,MSL,AFR
HG03478,M,MSL,AFR
HG03479,F,MSL,AFR
HG03480,F,MSL,AFR
HG03484,M,MSL,AFR
HG03485,F,MSL,AFR
HG03486,F,MSL,AFR
HG03487,M,PJL,SAS
HG03488,F,PJL,SAS
HG03489,M,PJL,SAS
HG03490,M,PJL,SAS
HG03491,F,PJL,SAS
HG03492,M,PJL,SAS
HG03499,F,ESN,AFR
HG03511,F,ESN,AFR
HG03514,F,ESN,AFR
HG03515,M,ESN,AFR
HG03516,F,ESN,AFR
HG03517,F,ESN,AFR
HG03518,M,ESN,AFR
HG03519,M,ESN,AFR
HG03520,F,ESN,AFR
HG03521,M,ESN,AFR
HG03522,F,ESN,AFR
HG03538,M,GWD,AFR
HG03539,F,GWD,AFR
HG03540,F,GWD,AFR
HG03547,M,MSL,AFR
HG03548,F,MSL,AFR
HG03556,M,MSL,AFR
HG03557,F,MSL,AFR
HG03558,F,MSL,AFR
HG03559,M,MSL,AFR
HG03563,F,MSL,AFR
HG03565,M,MSL,AFR
HG03567,F,MSL,AFR
HG03571,M,MSL,AFR
HG03572,F,MSL,AFR
HG03574,M,MSL,AFR
HG03575,F,MSL,AFR
HG03576,F,MSL,AFR
HG03577,M,MSL,AFR
HG03578,F,MSL,AFR
HG03579,M,MSL,AFR
HG03582,M,MSL,AFR
HG03583,F,MSL,AFR
HG03584,F,MSL,AFR
HG03585,M,BEB,SAS
HG03589,F,BEB,SAS
HG03593,M,BEB,SAS
HG03594,M,BEB,SAS
HG03595,F,BEB,SAS
HG03596,M,BEB,SAS
HG03598,F,BEB,SAS
HG03600,M,BEB,SAS
HG03603,M,BEB,SAS
HG03604,F,BEB,SAS
HG03605,F,BEB,SAS
HG03606,M,BEB,SAS
HG03607,F,BEB,SAS
HG03611,F,BEB,SAS
HG03615,M,BEB,SAS
HG03616,F,BEB,SAS
HG03617,F,BEB,SAS
HG03618,M,PJL,SAS
HG03619,F,PJL,SAS
HG03620,F,PJL,SAS
HG03624,M,PJL,SAS
HG03625,F,PJL,SAS
HG03626,F,PJL,SAS
HG03629,M,PJL,SAS
HG03631,F,PJL,SAS
HG03633,M,PJL,SAS
HG03634,F,PJL,SAS
HG03635,F,PJL,SAS
HG03636,M,PJL,SAS
HG03639,M,PJL,SAS
HG03640,F,PJL,SAS
HG03641,M,PJL,SAS
HG03642,F,STU,SAS
HG03643,F,STU,SAS
HG03644,M,STU,SAS
HG03645,F,STU,SAS
HG03646,M,STU,SAS
HG03649,M,PJL,SAS
HG03650,F,PJL,SAS
HG03651,M,PJL,SAS
HG03652,M,PJL,SAS
HG03653,F,PJL,SAS
HG03654,M,PJL,SAS
HG03660,M,PJL,SAS
HG03663,M,PJL,SAS
HG03667,M,PJL,SAS
HG03668,F,PJL,SAS
HG03669,F,PJL,SAS
HG03672,M,STU,SAS
HG03673,F,STU,SAS
HG03679,M,STU,SAS
HG03680,M,STU,SAS
HG03681,M,STU,SAS
HG03682,M,STU,SAS
HG03683,F,STU,SAS
HG03684,F,STU,SAS
HG03685,M,STU,SAS
HG03686,M,STU,SAS
HG03687,M,STU,SAS
HG03688,M,STU,SAS
HG03689,F,STU,SAS
HG03690,F,STU,SAS
HG03691,M,STU,SAS
HG03692,F,STU,SAS
HG03693,M,STU,SAS
HG03694,M,STU,SAS
HG03695,M,STU,SAS
HG03696,M,STU,SAS
HG03697,M,STU,SAS
HG03698,F,STU,SAS
HG03699,M,PJL,SAS
HG03700,F,PJL,SAS
HG03701,M,PJL,SAS
HG03702,M,PJL,SAS
HG03703,F,PJL,SAS
HG03704,F,PJL,SAS
HG03705,M,PJL,SAS
HG03706,F,PJL,SAS
HG03707,M,PJL,SAS
HG03708,M,PJL,SAS
HG03709,F,PJL,SAS
HG03710,M,PJL,SAS
HG03711,M,STU,SAS
HG03713,M,ITU,SAS
HG03714,F,ITU,SAS
HG03716,M,ITU,SAS
HG03717,F,ITU,SAS
HG03718,M,ITU,SAS
HG03719,F,ITU,SAS
HG03720,M,ITU,SAS
HG03721,F,ITU,SAS
HG03722,F,ITU,SAS
HG03725,M,ITU,SAS
HG03727,M,ITU,SAS
HG03729,M,ITU,SAS
HG03730,F,ITU,SAS
HG03731,F,ITU,SAS
HG03732,M,ITU,SAS
HG03733,F,STU,SAS
HG03736,F,STU,SAS
HG03738,M,STU,SAS
HG03740,M,STU,SAS
HG03741,F,STU,SAS
HG03742,M,ITU,SAS
HG03743,M,STU,SAS
HG03744,M,STU,SAS
HG03745,M,STU,SAS
HG03746,M,STU,SAS
HG03750,M,STU,SAS
HG03752,F,STU,SAS
HG03753,M,STU,SAS
HG03754,F,STU,SAS
HG03755,M,STU,SAS
HG03756,F,STU,SAS
HG03757,F,STU,SAS
HG03760,F,STU,SAS
HG03761,M,PJL,SAS
HG03762,F,PJL,SAS
HG03763,M,PJL,SAS
HG03765,F,PJL,SAS
HG03767,M,PJL,SAS
HG03770,F,ITU,SAS
HG03771,M,ITU,SAS
HG03772,F,ITU,SAS
HG03773,M,ITU,SAS
HG03774,F,ITU,SAS
HG03775,M,ITU,SAS
HG03777,M,ITU,SAS
HG03778,M,ITU,SAS
HG03779,M,ITU,SAS
HG03780,F,ITU,SAS
HG03781,F,ITU,SAS
HG03782,F,ITU,SAS
HG03784,F,ITU,SAS
HG03785,M,ITU,SAS
HG03786,M,ITU,SAS
HG03787,F,ITU,SAS
HG03788,M,ITU,SAS
HG03789,F,ITU,SAS
HG03790,M,ITU,SAS
HG03792,M,ITU,SAS
HG03793,F,BEB,SAS
HG03794,M,BEB,SAS
HG03795,M,BEB,SAS
HG03796,F,BEB,SAS
HG03797,M,BEB,SAS
HG03798,M,BEB,SAS
HG03799,F,BEB,SAS
HG03800,M,BEB,SAS
HG03801,F,BEB,SAS
HG03802,F,BEB,SAS
HG03803,M,BEB,SAS
HG03804,F,BEB,SAS
HG03805,F,BEB,SAS
HG03806,M,BEB,SAS
HG03807,F,BEB,SAS
HG03808,F,BEB,SAS
HG03809,M,BEB,SAS
HG03812,M,BEB,SAS
HG03814,F,BEB,SAS
HG03815,M,BEB,SAS
HG03816,F,BEB,SAS
HG03817,F,BEB,SAS
HG03821,M,BEB,SAS
HG03823,F,BEB,SAS
HG03824,M,BEB,SAS
HG03825,F,BEB,SAS
HG03826,F,BEB,SAS
HG03829,F,BEB,SAS
HG03830,M,BEB,SAS
HG03831,F,BEB,SAS
HG03832,F,BEB,SAS
HG03833,M,BEB,SAS
HG03834,F,BEB,SAS
HG03836,F,STU,SAS
HG03837,M,STU,SAS
HG03838,F,STU,SAS
HG03844,M,STU,SAS
HG03846,M,STU,SAS
HG03848,M,STU,SAS
HG03849,F,STU,SAS
HG03850,M,STU,SAS
HG03851,M,STU,SAS
HG03854,M,STU,SAS
HG03856,M,STU,SAS
HG03857,F,STU,SAS
HG03858,F,STU,SAS
HG03861,F,ITU,SAS
HG03862,F,ITU,SAS
HG03863,F,ITU,SAS
HG03864,M,ITU,SAS
HG03866,M,ITU,SAS
HG03867,M,ITU,SAS
HG03868,F,ITU,SAS
HG03869,M,ITU,SAS
HG03870,M,ITU,SAS
HG03871,M,ITU,SAS
HG03872,M,ITU,SAS
HG03873,F,ITU,SAS
HG03874,F,ITU,SAS
HG03875,M,ITU,SAS
HG03882,F,ITU,SAS
HG03884,F,STU,SAS
HG03885,M,STU,SAS
HG03886,F,STU,SAS
HG03887,M,STU,SAS
HG03888,F,STU,SAS
HG03890,M,STU,SAS
HG03894,F,STU,SAS
HG03895,F,STU,SAS
HG03896,M,STU,SAS
HG03897,F,STU,SAS
HG03898,F,STU,SAS
HG03899,M,STU,SAS
HG03900,M,STU,SAS
HG03902,M,BEB,SAS
HG03904,F,BEB,SAS
HG03905,M,BEB,SAS
HG03906,M,BEB,SAS
HG03907,F,BEB,SAS
HG03908,M,BEB,SAS
HG03909,M,BEB,SAS
HG03910,F,BEB,SAS
HG03911,M,BEB,SAS
HG03913,F,BEB,SAS
HG03914,M,BEB,SAS
HG03915,F,BEB,SAS
HG03916,F,BEB,SAS
HG03917,M,BEB,SAS
HG03919,F,BEB,SAS
HG03920,M,BEB,SAS
HG03922,F,BEB,SAS
HG03925,F,BEB,SAS
HG03926,M,BEB,SAS
HG03927,F,BEB,SAS
HG03928,F,BEB,SAS
HG03929,M,BEB,SAS
HG03930,F,BEB,SAS
HG03931,F,BEB,SAS
HG03934,F,BEB,SAS
HG03937,F,BEB,SAS
HG03940,F,BEB,SAS
HG03941,M,BEB,SAS
HG03942,M,BEB,SAS
HG03943,M,STU,SAS
HG03944,F,STU,SAS
HG03945,F,STU,SAS
HG03947,F,STU,SAS
HG03949,F,STU,SAS
HG03950,M,STU,SAS
HG03951,F,STU,SAS
HG03953,M,STU,SAS
HG03955,F,STU,SAS
HG03960,M,ITU,SAS
HG03963,M,ITU,SAS
HG03965,M,ITU,SAS
HG03967,M,ITU,SAS
HG03968,F,ITU,SAS
HG03969,M,ITU,SAS
HG03971,M,ITU,SAS
HG03973,F,ITU,SAS
HG03974,M,ITU,SAS
HG03976,M,ITU,SAS
HG03977,F,ITU,SAS
HG03978,M,ITU,SAS
HG03985,M,STU,SAS
HG03986,F,STU,SAS
HG03989,F,STU,SAS
HG03990,M,STU,SAS
HG03991,M,STU,SAS
HG03992,M,STU,SAS
HG03995,F,STU,SAS
HG03998,M,STU,SAS
HG03999,M,STU,SAS
HG04001,F,ITU,SAS
HG04002,M,ITU,SAS
HG04003,M,STU,SAS
HG04006,M,STU,SAS
HG04014,F,ITU,SAS
HG04015,M,ITU,SAS
HG04017,M,ITU,SAS
HG04018,F,ITU,SAS
HG04019,M,ITU,SAS
HG04020,M,ITU,SAS
HG04022,M,ITU,SAS
HG04023,M,ITU,SAS
HG04025,F,ITU,SAS
HG04026,F,ITU,SAS
HG04029,F,STU,SAS
HG04033,M,STU,SAS
HG04035,F,STU,SAS
HG04036,F,STU,SAS
HG04038,F,STU,SAS
HG04039,M,STU,SAS
HG04042,F,STU,SAS
HG04047,F,STU,SAS
HG04054,F,ITU,SAS
HG04056,M,ITU,SAS
HG04059,F,ITU,SAS
HG04060,M,ITU,SAS
HG04061,M,ITU,SAS
HG04062,F,ITU,SAS
HG04063,F,ITU,SAS
HG04070,F,ITU,SAS
HG04075,F,STU,SAS
HG04076,F,ITU,SAS
HG04080,M,ITU,SAS
HG04090,F,ITU,SAS
HG04093,M,ITU,SAS
HG04094,M,ITU,SAS
HG04096,M,ITU,SAS
HG04098,M,ITU,SAS
HG04099,F,STU,SAS
HG04100,M,STU,SAS
HG04106,F,STU,SAS
HG04107,M,STU,SAS
HG04115,M,STU,SAS
HG04118,F,ITU,SAS
HG04122,M,STU,SAS
HG04127,M,STU,SAS
HG04131,M,BEB,SAS
HG04132,F,BEB,SAS
HG04133,F,BEB,SAS
HG04134,M,BEB,SAS
HG04135,F,BEB,SAS
HG04136,F,BEB,SAS
HG04140,M,BEB,SAS
HG04141,F,BEB,SAS
HG04142,F,BEB,SAS
HG04144,F,BEB,SAS
HG04146,M,BEB,SAS
HG04147,F,BEB,SAS
HG04148,F,BEB,SAS
HG04149,M,BEB,SAS
HG04150,F,BEB,SAS
HG04151,F,BEB,SAS
HG04152,M,BEB,SAS
HG04153,F,BEB,SAS
HG04155,M,BEB,SAS
HG04156,F,BEB,SAS
HG04157,M,BEB,SAS
HG04158,M,BEB,SAS
HG04159,F,BEB,SAS
HG04160,M,BEB,SAS
HG04161,M,BEB,SAS
HG04162,F,BEB,SAS
HG04164,M,BEB,SAS
HG04171,F,BEB,SAS
HG04173,M,BEB,SAS
HG04174,F,BEB,SAS
HG04175,F,BEB,SAS
HG04176,M,BEB,SAS
HG04177,F,BEB,SAS
HG04180,F,BEB,SAS
HG04182,M,BEB,SAS
HG04183,F,BEB,SAS
HG04184,F,BEB,SAS
HG04185,M,BEB,SAS
HG04186,F,BEB,SAS
HG04187,M,BEB,SAS
HG04188,M,BEB,SAS
HG04189,F,BEB,SAS
HG04191,M,BEB,SAS
HG04192,F,BEB,SAS
HG04193,M,BEB,SAS
HG04194,M,BEB,SAS
