reference,sex,superpopulation,metric,n,mean,sd,median,q25,q75
T2T,M,AFR,het_rate,458,0.0013091205450896887,8.602908039182418e-05,0.0013132737106562225,0.0012756294522363397,0.0013550966509371814
T2T,M,AFR,call_rate,458,0.995660086327195,0.0004939427149027619,0.9957133592748668,0.9953742778789295,0.9960096014835014
T2T,M,AFR,var_rate,458,0.03390876679158965,0.0012667734777934087,0.034102583691294125,0.03353456948721531,0.03461379513089234
T2T,M,AFR,hom_rate,458,0.9613383068723046,0.00297189352595453,0.9614329512441988,0.960079145552298,0.9625054291570156
T2T,M,AMR,het_rate,225,0.0010467422106868035,0.00013296396909290862,0.0010583905876323497,0.000949729130842115,0.0011329478047811163
T2T,M,AMR,call_rate,225,0.9966676186509686,0.00040837886299707185,0.9967218953911801,0.9964585572499517,0.9969242533285354
T2T,M,AMR,var_rate,225,0.02341635069391855,0.0023872091524249264,0.022859707202435624,0.022140589335899626,0.023764617040530286
T2T,M,AMR,hom_rate,225,0.9550659611071102,0.005932165973473575,0.9552409225850651,0.9508840061318344,0.9590925051695213
T2T,M,EAS,het_rate,292,0.000941419507119921,6.732264047725464e-05,0.0009393072555603892,0.0008943235165340793,0.0009886888032724984
T2T,M,EAS,call_rate,292,0.9967834575290367,0.00036570984743533906,0.9967819949140597,0.9965339381363334,0.9970468865231799
T2T,M,EAS,var_rate,292,0.02299646923916665,0.0005838594750067484,0.02301733138722796,0.022652081010787285,0.023360642433190755
T2T,M,EAS,hom_rate,292,0.9590483870284027,0.002941744934824161,0.9592440341212173,0.9570614041775625,0.9609135212838424
T2T,M,EUR,het_rate,305,0.0010187007168808314,7.306441444274286e-05,0.0010167473424588683,0.0009737140102188058,0.001068184940600119
T2T,M,EUR,call_rate,305,0.9968838434428677,0.0005197914457721339,0.9969790130018045,0.996659525748908,0.9971980134229999
T2T,M,EUR,var_rate,305,0.021053139652960073,0.0008186815071127608,0.021068619999864684,0.020560180219030718,0.0215587960090687
T2T,M,EUR,hom_rate,305,0.9515426391921441,0.0039315403802550495,0.9517040183081459,0.948814559041152,0.9544350255977144
T2T,M,SAS,het_rate,319,0.001032700946288218,8.740284135153189e-05,0.0010430516582445642,0.0009864900967664714,0.0010846804232962938
T2T,M,SAS,call_rate,319,0.9967921964302876,0.0006266940504711436,0.9968402320401191,0.9966209960290462,0.9970453855018304
T2T,M,SAS,var_rate,319,0.022752473839591652,0.0007111745770526839,0.022820783887474376,0.02231799217644117,0.02321219197436332
T2T,M,SAS,hom_rate,319,0.9545761629393241,0.00404211383305005,0.954506643641771,0.9522271788118735,0.9566210739294232
